Tiempo,Posición,Velocidad,Ángulo,Velocidad angular,Acción

0.00,0,0.00,180.00,0.00,0.000000

0.01,0,0.00,180.00,0.00,0.000000

0.02,0,0.00,180.00,0.00,0.000000

0.03,0,0.00,180.00,0.00,0.000000

0.03,0,0.00,180.00,0.00,0.000000

0.04,0,0.00,180.00,0.00,0.000000

0.05,0,0.00,180.00,0.00,0.000000

0.06,0,0.00,180.00,0.00,0.000000

0.07,0,0.00,180.00,0.00,0.000000

0.08,0,0.00,180.00,0.00,0.000000

0.09,0,0.00,180.00,0.00,0.000000

0.10,0,0.00,180.00,0.00,0.000000

0.11,0,0.00,180.00,0.00,0.000000

0.11,0,0.00,180.00,0.00,0.000000

0.12,0,0.00,180.00,0.00,0.000000

0.13,0,0.00,180.00,0.00,0.000000

0.14,0,0.00,180.00,0.00,0.000000

0.15,0,0.00,180.00,0.00,0.000000

0.16,0,0.00,180.00,0.00,0.000000

0.17,0,0.00,180.00,0.00,0.000000

0.17,0,0.00,180.00,0.00,0.000000

0.18,0,0.00,180.00,0.00,0.000000

0.19,0,0.00,180.00,0.00,0.000000

0.20,0,0.00,180.00,0.00,0.000000

0.21,0,0.00,180.00,0.00,0.000000

0.22,0,0.00,180.00,0.00,0.000000

0.23,0,0.00,180.00,0.00,0.000000

0.23,0,0.00,180.00,0.00,0.000000

0.24,0,0.00,180.00,0.00,0.000000

0.25,0,0.00,180.00,0.00,0.000000

0.26,0,0.00,180.00,0.00,0.000000

0.27,0,0.00,180.00,0.00,0.000000

0.28,0,0.00,180.00,0.00,0.000000

0.29,0,0.00,180.00,0.00,0.000000

0.29,0,0.00,180.00,0.00,0.000000

0.30,0,0.00,180.00,0.00,0.000000

0.31,0,0.00,180.00,0.00,0.000000

0.32,0,0.00,180.00,0.00,0.000000

0.33,0,0.00,180.00,0.00,0.000000

0.34,0,0.00,180.00,0.00,0.000000

0.35,0,0.00,180.00,0.00,0.000000

0.36,0,0.00,180.00,0.00,0.000000

0.37,0,0.00,180.00,0.00,0.000000

0.37,0,0.00,180.00,0.00,0.000000

0.38,0,0.00,180.00,0.00,0.000000

0.39,0,0.00,180.00,0.00,0.000000

0.40,0,0.00,180.00,0.00,0.000000

0.41,0,0.00,180.00,0.00,0.000000

0.42,0,0.00,180.00,0.00,0.000000

0.43,0,0.00,180.00,0.00,0.000000

0.44,0,0.00,180.00,0.00,0.000000

0.44,0,0.00,180.00,0.00,0.000000

0.45,0,0.00,180.00,0.00,0.000000

0.46,0,0.00,180.00,0.00,0.000000

0.47,0,0.00,180.00,0.00,0.000000

0.48,0,0.00,180.00,0.00,0.000000

0.49,0,0.00,180.00,0.00,0.000000

